Cluster_Sets,Clustering_Distance,TPs,FPs,FNs
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_72', 'cluster_62', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_83', 'cluster_115', 'cluster_86', 'cluster_90', 'cluster_114', 'cluster_125', 'cluster_92', 'cluster_116', 'cluster_74', 'cluster_75', 'cluster_123', 'cluster_119', 'cluster_120', 'cluster_117']",distance_0,[],"['T1203', 'T1518.001', 'T1115', 'T1555.003', 'T1588.002', 'T1102.002', 'T1132.001', 'T1106']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_72', 'cluster_62', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_83', 'cluster_115', 'cluster_86', 'cluster_90', 'cluster_114', 'cluster_71', 'cluster_125', 'cluster_92', 'cluster_169', 'cluster_88', 'cluster_116', 'cluster_74', 'cluster_75', 'cluster_123', 'cluster_119', 'cluster_117']",distance_0,[],"['T1203', 'T1518.001', 'T1115', 'T1555.003', 'T1588.002', 'T1102.002', 'T1132.001', 'T1106']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_62', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_83', 'cluster_115', 'cluster_90', 'cluster_125', 'cluster_74', 'cluster_123', 'cluster_119', 'cluster_117']",distance_0,[],"['T1203', 'T1518.001', 'T1115', 'T1588.002', 'T1102.002', 'T1132.001', 'T1106']",[]
"['cluster_60', 'cluster_61', 'cluster_72', 'cluster_63']",distance_0,[],['T1588.002'],['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_62', 'cluster_66', 'cluster_63', 'cluster_64', 'cluster_65', 'cluster_83', 'cluster_89', 'cluster_115', 'cluster_67', 'cluster_86', 'cluster_90', 'cluster_91', 'cluster_71', 'cluster_125', 'cluster_92', 'cluster_68', 'cluster_169', 'cluster_88', 'cluster_93', 'cluster_74', 'cluster_75', 'cluster_38']",distance_0,[],"['T1203', 'T1555.003', 'T1588.002', 'T1027.005', 'T1036', 'T1059.007', 'T1102.002', 'T1189', 'T1132.001']",[]
"['cluster_60', 'cluster_73', 'cluster_62', 'cluster_66', 'cluster_63', 'cluster_64', 'cluster_65', 'cluster_83', 'cluster_89', 'cluster_115', 'cluster_67', 'cluster_90', 'cluster_91', 'cluster_71', 'cluster_125', 'cluster_92', 'cluster_68', 'cluster_88', 'cluster_93', 'cluster_74', 'cluster_75', 'cluster_38']",distance_0,[],"['T1203', 'T1555.003', 'T1588.002', 'T1027.005', 'T1036', 'T1059.007', 'T1102.002', 'T1189', 'T1132.001']",[]
"['cluster_60', 'cluster_61', 'cluster_62', 'cluster_63', 'cluster_64', 'cluster_65', 'cluster_83', 'cluster_89', 'cluster_115', 'cluster_86', 'cluster_90', 'cluster_71', 'cluster_100', 'cluster_125', 'cluster_92', 'cluster_169', 'cluster_88', 'cluster_74', 'cluster_123', 'cluster_119', 'cluster_117', 'cluster_38']",distance_0,[],"['T1115', 'T1588.002', 'T1027.005', 'T1102.002', 'T1189', 'T1059.001', 'T1132.001']",[]
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_62', 'cluster_66', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_65', 'cluster_83', 'cluster_89', 'cluster_115', 'cluster_67', 'cluster_86', 'cluster_90', 'cluster_91', 'cluster_71', 'cluster_100', 'cluster_125', 'cluster_92', 'cluster_68', 'cluster_169', 'cluster_88', 'cluster_93', 'cluster_69', 'cluster_74', 'cluster_75', 'cluster_123', 'cluster_117', 'cluster_38']",distance_0,[],"['T1203', 'T1115', 'T1555.003', 'T1588.002', 'T1027.005', 'T1036', 'T1059.007', 'T1102.002', 'T1189', 'T1059.001', 'T1132.001', 'T1106', 'T1218.011']",[]
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_41', 'cluster_35', 'cluster_36', 'cluster_46', 'cluster_47', 'cluster_37', 'cluster_48', 'cluster_40', 'cluster_38', 'cluster_55']",distance_0.1,[],"['T1203', 'T1588.002', 'T1027.005', 'T1036', 'T1059.007', 'T1102.002', 'T1059.003']",[]
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_41', 'cluster_35', 'cluster_36', 'cluster_46', 'cluster_47', 'cluster_51', 'cluster_37', 'cluster_48', 'cluster_40', 'cluster_38', 'cluster_55', 'cluster_53']",distance_0.1,[],"['T1203', 'T1588.002', 'T1027.005', 'T1036', 'T1095', 'T1059.007', 'T1102.002', 'T1189', 'T1059.003']",['T1505.003']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_41', 'cluster_35', 'cluster_36', 'cluster_47', 'cluster_48', 'cluster_40', 'cluster_55', 'cluster_53']",distance_0.1,[],"['T1203', 'T1588.002', 'T1027.005', 'T1036', 'T1095', 'T1059.007', 'T1102.002', 'T1059.003']",['T1505.003']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_35', 'cluster_36', 'cluster_46', 'cluster_47', 'cluster_51', 'cluster_37', 'cluster_48', 'cluster_40', 'cluster_54', 'cluster_38', 'cluster_55', 'cluster_43', 'cluster_18']",distance_0.1,[],"['T1203', 'T1555.003', 'T1588.002', 'T1027.005', 'T1036', 'T1059.007', 'T1102.002', 'T1189', 'T1132.001', 'T1059.003']",['T1505.003']
"['cluster_34', 'cluster_35', 'cluster_36', 'cluster_46', 'cluster_47', 'cluster_37', 'cluster_40', 'cluster_38', 'cluster_48', 'cluster_55', 'cluster_43']",distance_0.1,[],"['T1555.003', 'T1027.005', 'T1036', 'T1059.007', 'T1102.002', 'T1189']",['T1078']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_35', 'cluster_46', 'cluster_47', 'cluster_40', 'cluster_38', 'cluster_55', 'cluster_43']",distance_0.1,[],"['T1203', 'T1555.003', 'T1588.002', 'T1027.005', 'T1102.002']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_71', 'cluster_74', 'cluster_75', 'cluster_163', 'cluster_173', 'cluster_176', 'cluster_175', 'cluster_177', 'cluster_179']",distance_0,[],"['T1518', 'T1566', 'T1078']",['T1040']
